============================================================
### UCI-HAR   (seed = 64)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
  AVG     EATA     85.58     82.98     83.18   
  AVG     RoTTA    84.35     85.19     83.57   
  AVG     CoTTA    84.41     84.63     83.94   
============================================================
### OPPORTUNITY   (seed = 64)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain S1 ---
  S1      ERM      83.08     77.94     79.61   
  S1      T3A      83.19     78.28     79.93   
  S1      OFTTA    37.81     33.93     35.96   
  S1      PL       77.89     73.60     75.45   
  S1      TENT     78.11     73.38     76.27   
  S1      LAME     80.66     76.78     78.05   
  S1      SHOT     79.52     76.05     77.09   
  S1      TSD      79.27     75.28     76.06   
  S1      TAST     74.68     69.30     71.83   
  S1      TEA      79.41     75.21     75.17   
  S1      NOTE     78.69     74.78     75.43   
  S1      SOTTA    78.83     74.47     76.07   
  S1      DSOM     86.70     82.44     84.18   
  S1      SAR      78.62     74.27     75.08   
  S1      EATA     78.59     75.24     76.60   
  S1      RoTTA    78.70     75.08     76.37   
  S1      CoTTA    78.46     74.86     76.73   
--- domain S2 ---
  S2      ERM      74.94     69.51     70.10   
  S2      T3A      70.19     65.70     66.25   
  S2      OFTTA    73.02     68.81     70.87   
  S2      PL       70.69     66.35     67.90   
  S2      TENT     71.09     66.44     68.83   
  S2      LAME     72.71     68.79     69.99   
  S2      SHOT     71.45     68.09     68.91   
  S2      TSD      71.82     67.84     68.66   
  S2      TAST     67.91     62.45     64.75   
  S2      TEA      71.68     67.47     67.66   
  S2      NOTE     71.49     67.64     68.42   
  S2      SOTTA    71.17     67.13     68.74   
  S2      DSOM     76.40     72.25     73.72   
  S2      SAR      70.99     67.02     67.74   
  S2      EATA     70.93     67.25     69.61   
  S2      RoTTA    71.04     67.82     69.05   
  S2      CoTTA    70.97     67.51     68.82   
--- domain S3 ---
  S3      ERM      74.19     68.80     70.50   
  S3      T3A      73.42     68.34     68.95   
  S3      OFTTA    71.51     67.69     69.26   
  S3      PL       71.37     67.16     68.67   
  S3      TENT     71.76     67.02     69.48   
  S3      LAME     72.57     68.72     69.98   
  S3      SHOT     72.30     68.89     69.86   
  S3      TSD      72.53     68.48     69.32   
  S3      TAST     69.77     64.48     66.60   
  S3      TEA      72.55     68.47     68.71   
  S3      NOTE     71.97     67.97     69.10   
  S3      SOTTA    71.82     67.56     69.59   
  S3      DSOM     75.21     70.14     72.80   
  S3      SAR      71.68     67.20     69.07   
  S3      EATA     71.60     68.33     69.92   
  S3      RoTTA    71.71     68.33     69.84   
  S3      CoTTA    71.80     67.82     69.94   
--- domain S4 ---
  S4      ERM      80.79     75.59     77.23   
  S4      T3A      82.62     78.16     79.59   
  S4      OFTTA    79.00     75.82     76.73   
  S4      PL       76.25     71.77     73.71   
  S4      TENT     76.62     72.01     74.53   
  S4      LAME     80.52     76.70     77.77   
  S4      SHOT     77.24     74.01     74.89   
  S4      TSD      77.50     73.56     74.40   
  S4      TAST     73.81     68.63     70.76   
  S4      TEA      77.49     73.35     73.69   
  S4      NOTE     77.03     73.23     74.35   
  S4      SOTTA    76.87     72.78     74.66   
  S4      DSOM     81.98     76.68     78.15   
  S4      SAR      76.68     73.05     73.89   
  S4      EATA     76.62     73.18     75.17   
  S4      RoTTA    76.73     73.37     74.38   
  S4      CoTTA    76.56     72.73     73.67   
--- domain AVG ---
  AVG     ERM      78.25     72.96     74.36   
  AVG     T3A      77.36     72.62     73.68   
  AVG     OFTTA    65.33     61.56     63.21   
  AVG     PL       74.05     69.72     71.43   
  AVG     TENT     74.39     69.71     72.28   
  AVG     LAME     76.62     72.75     73.95   
  AVG     SHOT     75.13     71.76     72.69   
  AVG     TSD      75.28     71.29     72.11   
  AVG     TAST     71.54     66.22     68.48   
  AVG     TEA      75.28     71.12     71.31   
  AVG     NOTE     74.80     70.90     71.83   
  AVG     SOTTA    74.67     70.48     72.27   
  AVG     DSOM     80.07     75.38     77.21   
  AVG     SAR      74.49     70.39     71.45   
  AVG     EATA     74.43     71.00     72.82   
  AVG     RoTTA    74.54     71.15     72.41   
  AVG     CoTTA    74.45     70.73     72.29   
============================================================
### PAMAP2   (seed = 64)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 1 ---
  1       ERM      80.72     80.83     80.73   
  1       T3A      78.72     77.69     77.26   
  1       OFTTA    78.37     78.58     79.54   
  1       PL       78.61     78.21     78.53   
  1       TENT     81.11     78.88     80.06   
  1       LAME     82.90     80.65     79.85   
  1       SHOT     78.64     77.81     78.61   
  1       TSD      80.49     78.87     77.55   
  1       TAST     79.19     77.42     77.25   
  1       TEA      80.37     79.38     80.10   
  1       NOTE     78.03     77.20     76.55   
  1       SOTTA    79.48     78.91     78.91   
  1       DSOM     81.36     79.74     82.12   
  1       SAR      79.88     79.28     79.21   
  1       EATA     78.86     77.15     79.97   
  1       RoTTA    79.72     78.82     77.71   
  1       CoTTA    78.22     77.35     78.57   
--- domain 2 ---
  2       ERM      79.10     79.17     78.60   
  2       T3A      88.00     87.09     86.34   
  2       OFTTA    86.67     86.33     87.36   
  2       PL       82.91     82.66     82.92   
  2       TENT     85.06     83.11     84.35   
  2       LAME     81.78     79.95     78.96   
  2       SHOT     83.06     82.23     83.10   
  2       TSD      84.79     83.10     81.88   
  2       TAST     83.97     82.31     82.31   
  2       TEA      84.29     83.64     84.41   
  2       NOTE     82.80     82.26     81.68   
  2       SOTTA    83.83     83.40     83.19   
  2       DSOM     87.49     85.93     87.82   
  2       SAR      84.12     83.65     83.57   
  2       EATA     83.21     81.55     83.98   
  2       RoTTA    84.07     83.18     81.98   
  2       CoTTA    80.85     80.40     80.86   
--- domain 3 ---
  3       ERM      91.08     91.00     90.99   
  3       T3A      88.22     86.86     87.08   
  3       OFTTA    85.98     86.16     87.47   
  3       PL       89.67     89.43     89.52   
  3       TENT     91.70     89.67     90.88   
  3       LAME     92.98     90.86     90.08   
  3       SHOT     89.62     88.74     89.54   
  3       TSD      91.52     90.00     88.50   
  3       TAST     89.58     87.80     87.80   
  3       TEA      90.96     90.28     90.93   
  3       NOTE     89.73     89.03     88.48   
  3       SOTTA    90.54     90.13     89.82   
  3       DSOM     91.54     90.09     92.17   
  3       SAR      90.83     90.42     89.99   
  3       EATA     89.92     88.06     90.74   
  3       RoTTA    90.78     90.13     88.95   
  3       CoTTA    89.58     88.77     89.91   
--- domain 4 ---
  4       ERM      85.20     84.92     85.29   
  4       T3A      87.14     86.11     86.13   
  4       OFTTA    88.05     87.61     89.02   
  4       PL       85.27     85.20     85.23   
  4       TENT     87.25     85.35     86.56   
  4       LAME     88.11     86.06     85.16   
  4       SHOT     85.25     84.40     85.34   
  4       TSD      87.12     85.49     84.25   
  4       TAST     89.78     88.02     88.02   
  4       TEA      86.48     85.82     86.65   
  4       NOTE     84.76     84.26     83.75   
  4       SOTTA    86.14     85.75     85.59   
  4       DSOM     88.22     86.55     88.85   
  4       SAR      86.43     86.19     85.88   
  4       EATA     85.52     83.91     86.54   
  4       RoTTA    86.38     85.34     84.71   
  4       CoTTA    84.84     83.84     85.01   
--- domain 5 ---
  5       ERM      83.84     84.13     83.83   
  5       T3A      86.80     85.82     85.54   
  5       OFTTA    83.17     82.67     84.02   
  5       PL       81.80     81.49     81.55   
  5       TENT     83.89     81.84     82.91   
  5       LAME     88.32     86.34     85.49   
  5       SHOT     81.72     80.74     81.49   
  5       TSD      83.65     81.84     80.51   
  5       TAST     86.34     84.52     84.47   
  5       TEA      83.15     82.37     82.94   
  5       NOTE     78.68     77.99     77.64   
  5       SOTTA    82.64     82.13     81.82   
  5       DSOM     85.88     84.23     86.35   
  5       SAR      82.98     82.91     82.31   
  5       EATA     82.02     79.90     82.93   
  5       RoTTA    82.88     81.72     80.99   
  5       CoTTA    81.31     79.94     81.84   
--- domain AVG ---
  AVG     ERM      83.99     84.01     83.89   
  AVG     T3A      85.78     84.71     84.47   
  AVG     OFTTA    84.45     84.27     85.48   
  AVG     PL       83.65     83.40     83.55   
  AVG     TENT     85.80     83.77     84.95   
  AVG     LAME     86.82     84.77     83.91   
  AVG     SHOT     83.66     82.78     83.62   
  AVG     TSD      85.51     83.86     82.54   
  AVG     TAST     85.77     84.01     83.97   
  AVG     TEA      85.05     84.30     85.01   
  AVG     NOTE     82.80     82.15     81.62   
  AVG     SOTTA    84.53     84.06     83.87   
  AVG     DSOM     86.90     85.31     87.46   
  AVG     SAR      84.85     84.49     84.19   
  AVG     EATA     83.91     82.11     84.83   
  AVG     RoTTA    84.77     83.84     82.87   
  AVG     CoTTA    82.96     82.06     83.24   

============================================================
seed=64  Average-All across UCI-HAR / OPPORTUNITY / PAMAP2
============================================================
Method            Acc  MacroF1   BalAcc
--------------------------------------------
ERM             81.60    80.25    80.50
T3A             83.50    81.26    81.36
OFTTA           78.42    77.66    77.98
PL              81.03    78.71    79.62
TENT            81.20    79.04    80.14
LAME            82.52    80.53    80.56
SHOT            80.91    79.42    80.46
TSD             81.54    79.41    79.38
TAST            80.86    78.86    79.36
TEA             81.75    79.71    79.81
NOTE            80.96    78.87    78.91
SOTTA           80.86    79.94    79.93
DSOM            85.38    82.61    84.08
SAR             81.07    79.52    80.20
EATA            81.31    78.69    80.28
RoTTA           81.22    80.06    79.62
CoTTA           80.61    79.14    79.83
============================================================
