============================================================
### UCI-HAR   (seed = 64)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 0 ---
  0       ERM      88.29     89.51     88.86   
  0       T3A      93.03     92.00     91.47   
  0       OFTTA    91.06     92.84     90.71   
  0       PL       90.27     87.92     88.70   
  0       TENT     88.41     88.56     88.15   
  0       LAME     93.22     93.19     92.88   
  0       SHOT     88.89     88.57     89.93   
  0       TSD      88.72     87.94     88.31   
  0       TAST     90.31     91.32     90.71   
  0       TEA      89.97     88.70     88.07   
  0       NOTE     90.44     88.69     88.39   
  0       SOTTA    88.26     90.14     88.55   
  0       DSOM     93.29     91.75     92.05   
  0       SAR      88.91     88.69     90.01   
  0       EATA     90.47     87.92     88.12   
  0       RoTTA    89.24     90.11     88.61   
  0       CoTTA    89.41     89.58     88.87   
--- domain 1 ---
  1       ERM      75.45     76.51     76.24   
  1       T3A      80.12     79.32     78.67   
  1       OFTTA    76.59     78.27     76.30   
  1       PL       77.79     75.45     76.26   
  1       TENT     75.78     75.98     75.57   
  1       LAME     78.01     77.86     77.70   
  1       SHOT     76.34     76.09     77.44   
  1       TSD      76.24     75.51     75.84   
  1       TAST     79.47     80.48     79.73   
  1       TEA      77.35     76.16     75.53   
  1       NOTE     77.50     75.76     75.50   
  1       SOTTA    75.78     77.67     76.07   
  1       DSOM     84.23     80.55     81.06   
  1       SAR      76.20     76.02     77.38   
  1       EATA     77.99     75.56     75.61   
  1       RoTTA    76.76     77.52     75.92   
  1       CoTTA    76.93     77.14     76.42   
--- domain 2 ---
  2       ERM      92.97     94.22     93.66   
  2       T3A      94.94     94.17     93.69   
  2       OFTTA    93.19     94.87     93.14   
  2       PL       94.77     92.48     93.37   
  2       TENT     92.91     93.17     92.75   
  2       LAME     94.63     94.60     94.35   
  2       SHOT     93.32     93.17     94.54   
  2       TSD      93.22     92.54     92.98   
  2       TAST     92.43     93.50     92.81   
  2       TEA      94.33     93.20     92.63   
  2       NOTE     94.73     93.08     92.85   
  2       SOTTA    92.76     94.72     93.11   
  2       DSOM     94.78     93.25     93.53   
  2       SAR      93.34     93.21     94.35   
  2       EATA     94.97     92.31     92.52   
  2       RoTTA    93.74     94.63     92.93   
  2       CoTTA    93.91     94.19     93.50   
--- domain 3 ---
  3       ERM      79.94     81.20     80.63   
  3       T3A      81.15     80.07     79.62   
  3       OFTTA    82.10     83.75     81.88   
  3       PL       84.05     81.70     82.60   
  3       TENT     82.04     82.27     81.79   
  3       LAME     75.10     75.09     74.76   
  3       SHOT     82.60     82.38     83.73   
  3       TSD      82.50     81.75     82.14   
  3       TAST     78.85     79.96     79.27   
  3       TEA      83.61     82.44     81.86   
  3       NOTE     84.17     82.44     82.19   
  3       SOTTA    82.04     83.95     82.31   
  3       DSOM     83.59     81.93     82.25   
  3       SAR      82.39     82.23     83.35   
  3       EATA     84.25     81.65     81.96   
  3       RoTTA    83.02     83.93     82.14   
  3       CoTTA    83.19     83.42     82.76   
--- domain 4 ---
  4       ERM      76.20     77.48     76.86   
  4       T3A      87.57     86.64     86.23   
  4       OFTTA    84.45     85.99     84.28   
  4       PL       80.03     77.63     78.51   
  4       TENT     77.93     78.18     77.72   
  4       LAME     79.59     79.64     79.38   
  4       SHOT     78.58     78.36     79.64   
  4       TSD      78.48     77.72     78.09   
  4       TAST     85.26     86.35     85.63   
  4       TEA      79.34     78.10     77.56   
  4       NOTE     79.49     77.76     77.53   
  4       SOTTA    78.02     79.94     78.20   
  4       DSOM     90.02     88.30     88.95   
  4       SAR      78.43     78.25     79.69   
  4       EATA     80.23     77.46     77.70   
  4       RoTTA    79.00     79.77     78.25   
  4       CoTTA    78.59     78.81     78.15   
--- domain AVG ---
  AVG     ERM      82.57     83.78     83.25   
  AVG     T3A      87.36     86.44     85.94   
  AVG     OFTTA    85.48     87.14     85.26   
  AVG     PL       85.38     83.04     83.89   
  AVG     TENT     83.41     83.63     83.20   
  AVG     LAME     84.11     84.08     83.81   
  AVG     SHOT     83.95     83.71     85.06   
  AVG     TSD      83.83     83.09     83.47   
  AVG     TAST     85.26     86.32     85.63   
  AVG     TEA      84.92     83.72     83.13   
  AVG     NOTE     85.27     83.55     83.29   
  AVG     SOTTA    83.37     85.28     83.65   
  AVG     DSOM     89.18     87.16     87.57   
  AVG     SAR      83.85     83.68     84.96   
