============================================================
### UCI-HAR   (seed = 256)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 0 ---
  S3      LAME     72.65     70.59     71.62   
  S3      SHOT     73.62     72.08     72.75   
  S3      TSD      72.72     70.53     71.14   
  S3      TAST     68.33     64.61     66.72   
  S3      TEA      73.56     71.38     71.15   
  S3      NOTE     70.32     68.29     68.78   
  S3      SOTTA    72.20     69.85     71.34   
  S3      DSOM     75.20     71.81     73.33   
  S3      SAR      72.26     70.05     70.72   
  S3      EATA     72.02     70.31     71.77   
  S3      RoTTA    72.13     70.60     71.09   
  S3      CoTTA    72.13     70.41     71.30   
--- domain S4 ---
  S4      ERM      71.51     68.32     69.55   
  S4      T3A      69.98     67.02     67.35   
  S4      OFTTA    65.91     63.95     65.24   
  S4      PL       62.10     59.01     60.27   
  S4      TENT     62.12     58.66     60.70   
  S4      LAME     71.58     69.61     70.64   
  S4      SHOT     67.17     65.38     66.07   
  S4      TSD      64.39     61.88     62.50   
  S4      TAST     67.17     63.59     65.37   
  S4      TEA      65.46     62.93     62.53   
  S4      NOTE     62.40     59.63     60.07   
  S4      SOTTA    64.35     61.76     63.07   
  S4      DSOM     76.20     73.81     75.33   
  S4      SAR      64.50     62.06     62.53   
  S4      EATA     64.14     62.21     63.48   
  S4      RoTTA    64.25     62.51     62.81   
  S4      CoTTA    63.79     61.82     62.51   
--- domain AVG ---
  AVG     ERM      77.23     74.03     75.16   
  AVG     T3A      73.60     70.64     71.11   
  AVG     OFTTA    70.41     68.41     69.84   
  AVG     PL       71.48     68.97     70.28   
  AVG     TENT     71.47     68.60     70.69   
  AVG     LAME     77.30     75.64     76.58   
  AVG     SHOT     75.62     74.22     74.87   
  AVG     TSD      73.55     71.41     72.06   
  AVG     TAST     72.21     68.77     70.67   
  AVG     TEA      74.56     72.44     72.16   
  AVG     NOTE     71.47     69.41     69.92   
  AVG     SOTTA    73.48     71.25     72.67   
  AVG     DSOM     79.70     77.31     78.83   
  AVG     SAR      73.57     71.49     72.08   
  AVG     EATA     73.27     71.70     73.08   
  AVG     RoTTA    73.39     72.00     72.41   
  AVG     CoTTA    72.97     71.33     72.15   
============================================================
### PAMAP2   (seed = 256)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 1 ---
  1       ERM      80.55     81.39     81.31   
  1       T3A      78.34     77.87     77.72   
  1       OFTTA    78.64     78.96     80.39   
  1       PL       77.26     77.59     77.84   
  1       TENT     79.87     78.48     79.75   
  1       LAME     83.28     81.83     80.79   
  1       SHOT     77.38     77.04     78.00   
  1       TSD      79.17     78.07     76.88   
  1       TAST     78.87     77.63     77.59   
  1       TEA      79.10     78.96     79.81   
  1       NOTE     77.04     77.00     76.59   
  1       SOTTA    78.13     78.29     78.15   
  1       DSOM     80.60     79.71     82.22   
  1       SAR      78.55     78.69     78.57   
  1       EATA     77.51     76.09     79.08   
  1       RoTTA    78.37     77.88     77.00   
  1       CoTTA    76.30     75.96     77.26   
--- domain 2 ---
  2       ERM      79.55     80.44     80.17   
  2       T3A      87.80     87.53     87.06   
  2       OFTTA    86.66     87.16     88.32   
  2       PL       83.12     83.56     83.61   
  2       TENT     85.25     83.96     85.04   
  2       LAME     82.31     80.95     79.79   
  2       SHOT     83.25     83.05     83.79   
  2       TSD      85.01     84.03     82.64   
  2       TAST     82.91     81.80     81.55   
  2       TEA      84.49     84.46     85.11   
  2       NOTE     83.07     83.16     82.53   
  2       SOTTA    84.05     84.30     84.00   
  2       DSOM     86.60     85.71     88.22   
  2       SAR      84.34     84.59     84.29   
  2       EATA     83.43     82.10     84.92   
  2       RoTTA    84.29     83.89     82.85   
  2       CoTTA    81.46     81.22     82.34   
--- domain 3 ---
  3       ERM      83.05     83.79     83.63   
  3       T3A      83.40     82.72     82.60   
  3       OFTTA    78.96     79.10     80.55   
  3       PL       76.96     77.14     77.37   
  3       TENT     78.91     77.35     78.60   
  3       LAME     90.09     88.84     87.57   
  3       SHOT     76.91     76.46     77.36   
  3       TSD      78.81     77.59     76.34   
  3       TAST     82.39     81.00     80.92   
  3       TEA      78.17     77.90     78.70   
  3       NOTE     74.96     74.66     74.00   
  3       SOTTA    77.83     77.84     77.68   
  3       DSOM     84.60     83.71     85.22   
  3       SAR      78.10     78.09     77.95   
  3       EATA     77.21     75.65     78.60   
  3       RoTTA    78.07     77.44     76.53   
  3       CoTTA    74.71     74.07     75.43   
--- domain 4 ---
  4       ERM      84.90     85.93     85.56   
  4       T3A      88.71     88.60     88.07   
  4       OFTTA    87.58     88.24     89.33   
  4       PL       85.00     85.51     85.54   
  4       TENT     86.98     85.77     86.81   
  4       LAME     88.02     86.82     85.55   
  4       SHOT     84.97     84.85     85.55   
  4       TSD      86.85     85.95     84.51   
  4       TAST     89.35     88.45     88.06   
  4       TEA      86.20     86.25     86.86   
  4       NOTE     84.45     84.62     83.96   
  4       SOTTA    85.87     86.21     85.85   
  4       DSOM     87.60     86.71     89.22   
  4       SAR      86.15     86.49     86.13   
  4       EATA     85.25     84.01     86.77   
  4       RoTTA    86.11     85.80     84.70   
  4       CoTTA    82.43     82.27     83.33   
--- domain 5 ---
  5       ERM      83.01     83.96     83.66   
  5       T3A      86.60     86.33     85.90   
  5       OFTTA    82.80     83.27     84.51   
  5       PL       80.97     81.38     81.51   
  5       TENT     83.07     81.75     82.90   
  5       LAME     87.73     86.53     85.26   
  5       SHOT     80.90     80.65     81.49   
  5       TSD      82.82     81.80     80.48   
  5       TAST     86.31     85.21     84.94   
  5       TEA      82.33     82.27     82.98   
  5       NOTE     77.48     77.52     76.98   
  5       SOTTA    81.82     82.05     81.80   
  5       DSOM     86.60     85.71     88.22   
  5       SAR      82.13     82.35     82.12   
  5       EATA     81.20     79.84     82.73   
  5       RoTTA    82.06     81.63     80.66   
  5       CoTTA    80.42     80.12     81.33   
--- domain AVG ---
  AVG     ERM      82.21     83.10     82.87   
  AVG     T3A      84.97     84.61     84.27   
  AVG     OFTTA    82.93     83.35     84.62   
  AVG     PL       80.66     81.04     81.17   
  AVG     TENT     82.82     81.46     82.62   
  AVG     LAME     86.29     84.99     83.79   
  AVG     SHOT     80.68     80.41     81.24   
  AVG     TSD      82.53     81.49     80.17   
  AVG     TAST     83.97     82.82     82.61   
  AVG     TEA      82.06     81.97     82.69   
  AVG     NOTE     79.40     79.39     78.81   
  AVG     SOTTA    81.54     81.74     81.50   
  AVG     DSOM     85.20     84.31     86.62   
  AVG     SAR      81.85     82.04     81.81   
  AVG     EATA     80.92     79.54     82.42   
  AVG     RoTTA    81.78     81.33     80.35   
  AVG     CoTTA    79.06     78.73     79.94   

============================================================
seed=256  Average-All across UCI-HAR / OPPORTUNITY / PAMAP2
============================================================
Method            Acc  MacroF1   BalAcc
--------------------------------------------
ERM             80.70    80.29    80.46
T3A             81.75    80.31    80.19
OFTTA           79.38    79.38    79.66
PL              78.92    77.37    78.15
TENT            78.97    77.58    78.53
LAME            82.27    81.22    81.07
SHOT            79.82    79.13    80.09
TSD             79.71    78.34    78.27
TAST            80.28    79.06    79.42
TEA             80.26    79.07    79.02
NOTE            78.45    77.14    77.05
SOTTA           79.21    79.10    78.96
DSOM            84.17    82.50    83.92
SAR             79.51    78.73    79.33
EATA            79.67    77.71    79.27
RoTTA           79.58    79.16    78.46
CoTTA           78.56    77.91    78.39
============================================================
