============================================================
### UCI-HAR   (seed = 42)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
  AVG     EATA     86.29     82.95     83.93    
  AVG     RoTTA    85.06     85.21     84.25    
  AVG     CoTTA    85.21     84.82     84.80    
============================================================
### OPPORTUNITY   (seed = 42)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain S1 ---
  S1      ERM      82.41     75.16     75.70    
  S1      T3A      82.25     75.53     74.73    
  S1      OFTTA    83.27     77.50     77.85    
  S1      PL       81.84     75.74     75.77    
  S1      TENT     82.02     75.66     76.48    
  S1      LAME     81.70     77.20     77.26    
  S1      SHOT     81.97     76.62     76.02    
  S1      TSD      82.18     76.67     76.00    
  S1      TAST     82.91     76.09     76.76    
  S1      TEA      82.20     76.20     74.75    
  S1      NOTE     81.24     75.59     74.68    
  S1      SOTTA    81.83     75.74     75.96    
  S1      DSOM     84.02     77.82     78.26    
  S1      SAR      81.56     75.74     75.13    
  S1      EATA     81.50     76.13     76.26    
  S1      RoTTA    81.57     76.37     75.55    
  S1      CoTTA    81.10     75.58     75.17    
--- domain S2 ---
  S2      ERM      73.99     67.38     68.05    
  S2      T3A      74.40     70.65     70.48    
  S2      OFTTA    73.54     70.58     71.47    
  S2      PL       73.32     68.70     70.15    
  S2      TENT     73.92     69.17     71.35    
  S2      LAME     74.03     70.29     71.25    
  S2      SHOT     73.32     69.58     70.42    
  S2      TSD      73.99     69.58     70.34    
  S2      TAST     75.32     69.83     71.74    
  S2      TEA      73.69     69.43     69.36    
  S2      NOTE     72.86     68.87     69.24    
  S2      SOTTA    73.14     68.78     70.39    
  S2      DSOM     75.97     71.48     73.14    
  S2      SAR      72.95     68.69     69.54    
  S2      EATA     72.84     69.10     70.68    
  S2      RoTTA    72.92     69.40     69.99    
  S2      CoTTA    71.86     67.99     69.05    
--- domain S3 ---
  S3      ERM      68.63     62.45     62.93    
  S3      T3A      69.70     63.06     62.25    
  S3      OFTTA    69.00     63.29     63.61    
  S3      PL       67.91     57.78     58.15    
  S3      TENT     67.65     57.16     58.34    
  S3      LAME     69.08     59.05     58.56    
  S3      SHOT     68.38     59.04     58.76    
  S3      TSD      68.72     58.64     58.22    
  S3      TAST     70.43     63.10     63.65    
  S3      TEA      68.46     58.52     57.27    
  S3      NOTE     68.49     58.88     58.46    
  S3      SOTTA    68.00     57.96     58.49    
  S3      DSOM     71.23     60.78     61.49    
  S3      SAR      67.78     57.97     57.75    
  S3      EATA     67.73     58.32     58.79    
  S3      RoTTA    67.81     58.56     58.10    
  S3      CoTTA    66.94     57.58     57.49    
--- domain S4 ---
  S4      ERM      79.60     72.57     73.14    
  S4      T3A      80.65     75.53     76.27    
  S4      OFTTA    78.32     75.49     77.07    
  S4      PL       78.99     75.00     76.15    
  S4      TENT     79.51     75.17     77.05    
  S4      LAME     78.26     76.49     77.24    
  S4      SHOT     79.39     76.17     76.59    
  S4      TSD      80.01     76.19     76.56    
  S4      TAST     78.95     74.20     76.26    
  S4      TEA      79.80     75.91     75.48    
  S4      NOTE     78.57     75.19     75.58    
  S4      SOTTA    79.35     75.43     76.63    
  S4      DSOM     81.38     76.87     78.63    
  S4      SAR      79.17     75.39     75.82    
  S4      EATA     79.08     75.84     76.99    
  S4      RoTTA    79.15     76.10     76.35    
  S4      CoTTA    78.40     74.70     75.27    
--- domain AVG ---
  AVG     ERM      76.09     69.39     69.94    
  AVG     T3A      76.75     71.20     70.93    
  AVG     OFTTA    76.05     71.76     72.16    
  AVG     PL       75.47     69.57     70.69    
  AVG     TENT     75.70     69.39     71.11    
  AVG     LAME     75.72     70.86     71.12    
  AVG     SHOT     75.76     70.75     71.18    
  AVG     TSD      76.25     70.77     71.00    
  AVG     TAST     76.93     70.72     71.90    
  AVG     TEA      76.05     70.35     69.71    
  AVG     NOTE     75.27     69.82     69.99    
  AVG     SOTTA    75.53     69.98     71.09    
  AVG     DSOM     78.12     71.68     72.93    
  AVG     SAR      75.36     69.45     69.56    
  AVG     EATA     75.29     69.85     70.68    
  AVG     RoTTA    75.36     70.11     70.00    
  AVG     CoTTA    74.57     68.96     69.24    
============================================================
### PAMAP2   (seed = 42)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 1 ---
  1       ERM      80.79     77.07     81.34    
  1       T3A      80.82     82.14     81.22    
  1       OFTTA    78.00     80.39     81.43    
  1       PL       81.07     82.65     82.62    
  1       TENT     84.45     83.15     84.06    
  1       LAME     84.78     85.07     83.20    
  1       SHOT     80.90     81.96     82.59    
  1       TSD      82.88     83.07     81.59    
  1       TAST     81.77     82.70     81.82    
  1       TEA      82.50     83.68     84.15    
  1       NOTE     80.80     79.33     78.97    
  1       SOTTA    81.88     83.33     82.96    
  1       DSOM     83.39     83.71     85.27    
  1       SAR      82.66     84.11     83.65    
  1       EATA     81.31     81.13     83.89    
  1       RoTTA    82.18     82.96     81.81    
  1       CoTTA    80.39     81.25     82.32    
--- domain 2 ---
  2       ERM      77.20     73.71     77.85    
  2       T3A      86.49     86.92     85.38    
  2       OFTTA    86.10     87.67     87.64    
  2       PL       85.21     86.47     85.62    
  2       TENT     87.05     86.72     86.85    
  2       LAME     82.42     81.36     78.89    
  2       SHOT     85.73     85.61     85.50    
  2       TSD      87.07     86.93     84.61    
  2       TAST     81.39     82.47     80.96    
  2       TEA      86.59     87.36     87.01    
  2       NOTE     84.67     85.57     83.99    
  2       SOTTA    86.12     87.13     85.96    
  2       DSOM     86.23     85.32     86.27    
  2       SAR      86.45     87.45     86.22    
  2       EATA     85.54     85.01     86.88    
  2       RoTTA    86.40     86.72     84.81    
  2       CoTTA    84.33     85.10     85.20    
--- domain 3 ---
  3       ERM      90.00     85.64     90.53    
  3       T3A      87.21     69.76     85.81    
  3       OFTTA    86.06     61.97     86.25    
  3       PL       90.34     65.31     89.84    
  3       TENT     92.71     65.51     91.05    
  3       LAME     93.67     92.64     90.24    
  3       SHOT     90.71     64.58     89.80    
  3       TSD      92.19     65.75     88.81    
  3       TAST     89.32     70.62     86.79    
  3       TEA      91.53     66.03     91.17    
  3       NOTE     90.85     64.92     89.22    
  3       SOTTA    91.18     65.98     90.10    
  3       DSOM     91.30     80.03     91.35    
  3       SAR      91.65     66.48     90.64    
  3       EATA     90.60     63.83     91.09    
  3       RoTTA    91.50     65.66     89.03    
  3       CoTTA    90.20     71.46     90.20    
--- domain 4 ---
  4       ERM      87.70     83.49     88.23    
  4       T3A      89.74     81.62     88.73    
  4       OFTTA    87.33     79.44     88.25    
  4       PL       84.53     77.60     85.35    
  4       TENT     87.38     78.00     86.70    
  4       LAME     89.07     88.89     86.65    
  4       SHOT     84.41     76.87     85.26    
  4       TSD      86.31     78.08     84.32    
  4       TAST     90.10     81.37     88.62    
  4       TEA      85.92     78.53     86.77    
  4       NOTE     84.73     76.94     83.78    
  4       SOTTA    85.39     78.26     85.58    
  4       DSOM     89.48     89.53     90.50    
  4       SAR      85.64     78.55     85.88    
  4       EATA     84.68     76.07     86.49    
  4       RoTTA    85.57     77.85     84.42    
  4       CoTTA    84.06     69.79     85.03    
--- domain 5 ---
  5       ERM      81.19     77.49     81.81    
  5       T3A      82.89     83.97     82.61    
  5       OFTTA    80.46     82.01     82.56    
  5       PL       80.77     81.00     80.87    
  5       TENT     83.35     81.39     82.23    
  5       LAME     82.33     85.90     83.09    
  5       SHOT     80.65     80.37     80.87    
  5       TSD      82.68     81.30     79.82    
  5       TAST     75.64     78.52     77.55    
  5       TEA      82.02     81.95     82.30    
  5       NOTE     84.82     80.02     79.49    
  5       SOTTA    81.40     81.55     81.16    
  5       DSOM     86.59     86.03     86.57    
  5       SAR      81.71     81.87     81.44    
  5       EATA     80.76     79.34     82.11    
  5       RoTTA    81.66     81.13     79.99    
  5       CoTTA    80.40     80.19     80.96    
--- domain AVG ---
  AVG     ERM      83.41     79.49     83.97    
  AVG     T3A      85.43     80.88     84.75    
  AVG     OFTTA    83.57     78.27     85.21    
  AVG     PL       84.39     78.63     84.86    
  AVG     TENT     86.98     78.95     86.19    
  AVG     LAME     86.45     86.76     84.38    
  AVG     SHOT     84.47     77.87     84.81    
  AVG     TSD      86.20     79.02     83.78    
  AVG     TAST     83.64     79.12     83.18    
  AVG     TEA      85.70     79.49     86.26    
  AVG     NOTE     85.14     77.34     83.11    
  AVG     SOTTA    85.20     79.25     85.15    
  AVG     DSOM     87.40     84.98     87.97    
  AVG     SAR      85.62     79.69     85.57    
  AVG     EATA     84.58     77.08     86.09    
  AVG     RoTTA    85.46     78.86     84.01    
  AVG     CoTTA    83.88     77.56     84.74    

============================================================
seed=42  Average-All across UCI-HAR / OPPORTUNITY / PAMAP2
============================================================
Method            Acc  MacroF1   BalAcc
--------------------------------------------
ERM             80.88    77.62    79.33
T3A             83.46    79.66    80.71
OFTTA           82.41    79.71    81.50
PL              81.94    77.09    80.06
TENT            82.32    77.47    80.43
LAME            82.95    81.31    80.55
SHOT            81.30    77.18    80.25
TSD             82.29    77.66    79.61
TAST            82.26    78.91    80.45
TEA             82.48    77.96    79.96
NOTE            81.76    76.62    78.67
SOTTA           81.60    78.24    80.20
DSOM            84.85    81.10    82.72
SAR             81.78    77.53    80.21
EATA            82.06    76.62    80.24
RoTTA           81.96    78.06    79.43
CoTTA           81.22    77.12    79.60
============================================================
