============================================================
### UCI-HAR   (seed = 42)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 0 ---
  0       ERM      90.36     91.09     91.25    
  0       T3A      92.30     91.13     90.58    
  0       OFTTA    91.06     92.43     90.59    
  0       PL       91.83     88.87     89.97    
  0       TENT     90.30     90.00     89.54    
  0       LAME     92.12     91.76     91.59    
  0       SHOT     90.29     89.45     91.07    
  0       TSD      90.10     88.84     89.41    
  0       TAST     90.22     91.04     90.36    
  0       TEA      91.35     89.61     89.20    
  0       NOTE     88.89     86.42     86.37    
  0       SOTTA    89.81     91.13     89.66    
  0       DSOM     92.42     90.60     90.83    
  0       SAR      89.36     88.35     90.09    
  0       EATA     91.88     88.62     89.09    
  0       RoTTA    90.60     90.85     89.41    
  0       CoTTA    90.78     90.46     89.99    
--- domain 1 ---
  1       ERM      74.73     75.62     75.62    
  1       T3A      77.05     73.37     74.31    
  1       OFTTA    78.28     77.34     76.98    
  1       PL       78.73     73.18     76.02    
  1       TENT     76.78     73.85     75.28    
  1       LAME     77.46     74.17     75.90    
  1       SHOT     77.44     73.87     77.32    
  1       TSD      77.12     73.21     75.61    
  1       TAST     74.09     73.02     73.73    
  1       TEA      77.92     73.89     75.31    
  1       NOTE     78.39     73.46     75.16    
  1       SOTTA    76.56     75.16     75.41    
  1       DSOM     77.96     72.10     74.31    
  1       SAR      76.85     73.45     76.76    
  1       EATA     78.52     72.61     74.89    
  1       RoTTA    77.31     74.84     75.17    
  1       CoTTA    77.41     74.45     75.72    
--- domain 2 ---
  2       ERM      92.77     93.48     93.63    
  2       T3A      96.33     95.85     95.08    
  2       OFTTA    94.33     96.45     94.34    
  2       PL       95.39     93.40     93.98    
  2       TENT     93.97     94.54     93.87    
  2       LAME     96.02     96.39     95.87    
  2       SHOT     94.12     94.17     95.29    
  2       TSD      93.77     93.35     93.47    
  2       TAST     93.90     95.37     94.43    
  2       TEA      95.27     94.40     93.48    
  2       NOTE     93.93     94.56     94.00    
  2       SOTTA    93.63     95.89     94.01    
  2       DSOM     95.63     94.31     94.50    
  2       SAR      94.21     94.33     95.44    
  2       EATA     95.90     93.47     93.61    
  2       RoTTA    94.65     95.78     93.91    
  2       CoTTA    94.79     95.36     94.42    
--- domain 3 ---
  3       ERM      77.52     78.39     78.32    
  3       T3A      82.09     81.48     80.94    
  3       OFTTA    83.65     85.72     83.67    
  3       PL       85.48     83.39     84.29    
  3       TENT     84.48     84.94     84.32    
  3       LAME     77.41     77.00     76.86    
  3       SHOT     78.47     84.13     85.49    
  3       TSD      83.66     83.12     83.59    
  3       TAST     81.56     82.97     82.31    
  3       TEA      85.08     84.16     83.61    
  3       NOTE     85.43     83.97     83.82    
  3       SOTTA    83.54     85.59     84.01    
  3       DSOM     84.85     83.40     83.77    
  3       SAR      83.42     83.38     84.85    
  3       EATA     85.66     83.18     83.58    
  3       RoTTA    84.49     85.43     83.87    
  3       CoTTA    84.66     85.08     84.44    
--- domain 4 ---
  4       ERM      80.58     81.33     81.41    
  4       T3A      93.27     92.60     91.58    
  4       OFTTA    90.66     92.52     90.19    
  4       PL       78.69     76.47     78.66    
  4       TENT     75.83     76.09     77.02    
  4       LAME     90.18     90.47     90.75    
  4       SHOT     77.96     77.75     80.41    
  4       TSD      77.45     76.78     78.48    
  4       TAST     91.47     92.78     91.65    
  4       TEA      78.88     77.82     78.57    
  4       NOTE     78.00     76.21     78.16    
  4       SOTTA    77.43     79.42     79.03    
  4       DSOM     94.27     92.84     93.03    
  4       SAR      77.86     77.73     80.41    
  4       EATA     79.47     76.86     78.49    
  4       RoTTA    78.26     79.15     78.88    
  4       CoTTA    78.42     78.73     79.41    
--- domain AVG ---
  AVG     ERM      83.14     83.99     84.07    
  AVG     T3A      88.21     86.89     86.46    
  AVG     OFTTA    87.62     89.10     87.13    
  AVG     PL       85.97     83.09     84.64    
  AVG     TENT     84.30     84.07     84.01    
  AVG     LAME     86.68     86.31     86.15    
  AVG     SHOT     83.69     82.92     84.75    
  AVG     TSD      84.44     83.21     84.02    
  AVG     TAST     86.21     86.87     86.28    
  AVG     TEA      85.70     84.06     83.91    
  AVG     NOTE     84.87     82.68     82.91    
  AVG     SOTTA    84.07     85.51     84.36    
  AVG     DSOM     89.04     86.66     87.26    
  AVG     SAR      84.34     83.45     85.51    
