============================================================
### UCI-HAR   (seed = 10)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 0 ---
  0       ERM      90.04     90.79     90.91    
  0       T3A      92.09     90.92     90.37    
  0       OFTTA    90.51     91.95     90.12    
  0       PL       91.17     88.34     89.35    
  0       TENT     90.03     89.73     89.30    
  0       LAME     91.92     91.55     91.38    
  0       SHOT     89.79     89.03     90.55    
  0       TSD      89.72     88.45     88.99    
  0       TAST     89.81     90.60     89.92    
  0       TEA      90.76     89.06     88.60    
  0       NOTE     88.23     85.78     85.72    
  0       SOTTA    89.16     90.53     89.04    
  0       DSOM     91.72     89.89     90.14    
  0       SAR      89.07     88.08     89.78    
  0       EATA     91.56     88.32     88.81    
  0       RoTTA    90.33     90.58     89.12    
  0       CoTTA    90.50     90.20     89.70    
--- domain 1 ---
  1       ERM      73.94     74.83     74.82    
  1       T3A      76.72     73.05     73.99    
  1       OFTTA    77.47     76.68     76.17    
  1       PL       78.04     72.56     75.35    
  1       TENT     76.17     73.22     74.73    
  1       LAME     76.62     73.47     75.01    
  1       SHOT     76.47     73.07     76.36    
  1       TSD      76.54     72.62     74.94    
  1       TAST     73.36     72.32     73.10    
  1       TEA      77.31     73.29     74.61    
  1       NOTE     77.77     72.90     74.58    
  1       SOTTA    75.66     74.40     74.65    
  1       DSOM     76.93     71.17     73.34    
  1       SAR      76.58     73.15     76.47    
  1       EATA     78.21     72.31     74.56    
  1       RoTTA    76.98     74.57     74.87    
  1       CoTTA    77.15     74.19     75.45    
--- domain 2 ---
  2       ERM      92.51     93.23     93.38    
  2       T3A      96.21     95.73     94.96    
  2       OFTTA    94.20     96.30     94.19    
  2       PL       95.06     93.09     93.68    
  2       TENT     93.83     94.38     93.71    
  2       LAME     95.84     96.17     95.69    
  2       SHOT     93.89     93.98     95.08    
  2       TSD      93.63     93.21     93.33    
  2       TAST     93.70     95.18     94.26    
  2       TEA      94.91     94.07     93.19    
  2       NOTE     93.54     94.17     93.70    
  2       SOTTA    93.37     95.60     93.69    
  2       DSOM     95.30     93.98     94.16    
  2       SAR      93.95     94.03     95.18    
  2       EATA     95.58     93.19     93.27    
  2       RoTTA    94.35     95.45     93.58    
  2       CoTTA    94.52     95.07     94.16    
--- domain 3 ---
  3       ERM      77.02     77.88     77.90    
  3       T3A      81.75     81.14     80.60    
  3       OFTTA    83.34     85.44     83.41    
  3       PL       85.19     83.11     84.03    
  3       TENT     84.25     84.70     84.12    
  3       LAME     76.74     76.37     76.20    
  3       SHOT     78.08     83.62     85.05    
  3       TSD      83.28     82.76     83.21    
  3       TAST     81.29     82.71     82.05    
  3       TEA      84.71     83.76     83.21    
  3       NOTE     85.16     83.69     83.54    
  3       SOTTA    83.15     85.27     83.69    
  3       DSOM     84.41     82.97     83.32    
  3       SAR      83.13     83.11     84.58    
  3       EATA     85.39     82.89     83.36    
  3       RoTTA    84.16     85.15     83.67    
  3       CoTTA    84.33     84.77     84.25    
--- domain 4 ---
  4       ERM      80.16     81.00     81.04    
  4       T3A      93.09     92.42     91.40    
  4       OFTTA    90.36     92.20     89.88    
  4       PL       78.10     75.88     78.05    
  4       TENT     75.24     75.55     76.46    
  4       LAME     89.88     90.17     90.41    
  4       SHOT     77.44     77.29     79.98    
  4       TSD      77.03     76.37     78.08    
  4       TAST     91.18     92.51     91.37    
  4       TEA      78.47     77.38     78.09    
  4       NOTE     77.59     75.87     77.77    
  4       SOTTA    76.83     78.81     78.48    
  4       DSOM     93.89     92.45     92.63    
  4       SAR      77.57     77.40     80.14    
  4       EATA     79.20     76.56     78.23    
  4       RoTTA    77.97     78.82     78.54    
  4       CoTTA    78.14     78.44     79.12    
--- domain AVG ---
  AVG     ERM      82.73     83.54     83.61    
  AVG     T3A      87.97     86.65     86.22    
  AVG     OFTTA    87.17     88.66     86.68    
  AVG     PL       85.51     82.63     84.09    
  AVG     TENT     83.90     83.68     83.61    
  AVG     LAME     86.20     85.91     85.74    
  AVG     SHOT     83.14     82.43     84.24    
  AVG     TSD      84.04     82.80     83.66    
  AVG     TAST     85.87     86.55     85.95    
  AVG     TEA      85.23     83.57     83.39    
  AVG     NOTE     84.46     82.26     82.48    
  AVG     SOTTA    83.63     85.01     83.79    
  AVG     DSOM     88.45     86.09     86.72    
  AVG     SAR      84.06     83.15     85.23    
