============================================================
### UCI-HAR   (seed = 10)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
  AVG     EATA     85.99     82.65     83.65    
  AVG     RoTTA    84.76     84.91     83.96    
  AVG     CoTTA    84.93     84.53     84.54    
============================================================
### OPPORTUNITY   (seed = 10)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain S1 ---
  S1      ERM      81.84     74.65     75.25    
  S1      T3A      81.86     75.17     74.37    
  S1      OFTTA    82.88     77.10     77.42    
  S1      PL       81.47     75.37     75.44    
  S1      TENT     81.55     75.18     76.02    
  S1      LAME     81.23     76.76     76.78    
  S1      SHOT     81.58     76.25     75.67    
  S1      TSD      81.71     76.22     75.51    
  S1      TAST     82.47     75.67     76.39    
  S1      TEA      81.65     75.78     74.24    
  S1      NOTE     80.75     75.18     74.19    
  S1      SOTTA    81.33     75.34     75.52    
  S1      DSOM     83.98     77.81     78.27    
  S1      SAR      81.28     75.43     74.79    
  S1      EATA     81.19     75.81     75.95    
  S1      RoTTA    81.30     76.10     75.27    
  S1      CoTTA    80.83     75.25     74.83    
--- domain S2 ---
  S2      ERM      73.42     66.87     67.42    
  S2      T3A      74.02     70.29     70.11    
  S2      OFTTA    72.92     69.94     70.84    
  S2      PL       72.66     68.16     69.59    
  S2      TENT     73.37     68.67     70.84    
  S2      LAME     73.64     69.91     70.84    
  S2      SHOT     72.86     69.08     69.90    
  S2      TSD      73.55     69.24     69.89    
  S2      TAST     74.80     69.37     71.23    
  S2      TEA      73.20     68.94     68.82    
  S2      NOTE     72.17     68.34     68.65    
  S2      SOTTA    72.62     68.29     69.89    
  S2      DSOM     76.07     71.44     73.20    
  S2      SAR      72.81     68.40     69.20    
  S2      EATA     72.64     68.81     70.36    
  S2      RoTTA    72.75     69.10     69.68    
  S2      CoTTA    71.56     67.69     68.78    
--- domain S3 ---
  S3      ERM      68.09     61.94     62.46    
  S3      T3A      69.37     62.76     61.95    
  S3      OFTTA    68.60     62.94     63.24    
  S3      PL       67.40     57.32     57.72    
  S3      TENT     67.13     56.79     57.99    
  S3      LAME     68.61     58.71     58.23    
  S3      SHOT     67.79     58.56     58.34    
  S3      TSD      68.23     58.26     57.88    
  S3      TAST     69.95     62.67     63.26    
  S3      TEA      68.06     58.15     56.90    
  S3      NOTE     68.09     58.54     58.10    
  S3      SOTTA    67.54     57.56     58.09    
  S3      DSOM     71.15     60.69     61.42    
  S3      SAR      67.52     57.64     57.47    
  S3      EATA     67.42     58.01     58.49    
  S3      RoTTA    67.53     58.30     57.81    
  S3      CoTTA    66.67     57.29     57.21    
--- domain S4 ---
  S4      ERM      79.21     72.22     72.80    
  S4      T3A      80.40     75.29     76.03    
  S4      OFTTA    77.92     75.11     76.63    
  S4      PL       78.48     74.54     75.68    
  S4      TENT     79.11     74.80     76.67    
  S4      LAME     77.88     76.11     76.87    
  S4      SHOT     78.97     75.77     76.24    
  S4      TSD      79.68     75.87     76.20    
  S4      TAST     78.49     73.73     75.85    
  S4      TEA      79.23     75.37     74.92    
  S4      NOTE     78.09     74.75     75.11    
  S4      SOTTA    78.87     75.00     76.22    
  S4      DSOM     81.35     76.95     78.60    
  S4      SAR      78.90     75.12     75.54    
  S4      EATA     78.75     75.50     76.69    
  S4      RoTTA    78.86     75.79     76.01    
  S4      CoTTA    78.07     74.43     75.01    
--- domain AVG ---
  AVG     ERM      75.64     68.92     69.48    
  AVG     T3A      76.41     70.88     70.61    
  AVG     OFTTA    75.58     71.27     71.76    
  AVG     PL       75.00     69.09     70.15    
  AVG     TENT     75.29     69.01     70.71    
  AVG     LAME     75.34     70.45     70.76    
  AVG     SHOT     75.30     70.34     70.71    
  AVG     TSD      75.79     70.37     70.62    
  AVG     TAST     76.43     70.32     71.46    
  AVG     TEA      75.54     69.92     69.24    
  AVG     NOTE     74.78     69.42     69.58    
  AVG     SOTTA    75.09     69.47     70.65    
  AVG     DSOM     78.14     71.74     72.87    
  AVG     SAR      75.13     69.15     69.25    
  AVG     EATA     75.00     69.53     70.37    
  AVG     RoTTA    75.11     69.82     69.69    
  AVG     CoTTA    74.28     68.66     68.96    
============================================================
### PAMAP2   (seed = 10)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 1 ---
  1       ERM      80.46     76.75     81.06    
  1       T3A      80.60     81.92     81.00    
  1       OFTTA    77.68     80.10     81.11    
  1       PL       80.77     82.39     82.36    
  1       TENT     84.20     82.92     83.83    
  1       LAME     84.58     84.85     82.99    
  1       SHOT     80.63     81.71     82.37    
  1       TSD      82.68     82.89     81.39    
  1       TAST     81.48     82.43     81.58    
  1       TEA      82.12     83.34     83.82    
  1       NOTE     80.48     79.05     78.70    
  1       SOTTA    81.66     83.11     82.69    
  1       DSOM     83.43     83.75     85.35    
  1       SAR      82.33     83.84     83.34    
  1       EATA     81.00     80.87     83.57    
  1       RoTTA    81.86     82.66     81.50    
  1       CoTTA    80.09     80.95     82.05    
--- domain 2 ---
  2       ERM      76.86     73.39     77.48    
  2       T3A      86.26     86.69     85.15    
  2       OFTTA    85.81     87.35     87.36    
  2       PL       84.88     86.17     85.32    
  2       TENT     86.71     86.41     86.54    
  2       LAME     82.14     81.07     78.62    
  2       SHOT     85.41     85.34     85.19    
  2       TSD      86.70     86.58     84.26    
  2       TAST     81.12     82.21     80.69    
  2       TEA      86.29     87.04     86.74    
  2       NOTE     84.30     85.25     83.66    
  2       SOTTA    85.83     86.86     85.62    
  2       DSOM     86.29     85.45     86.39    
  2       SAR      86.14     87.16     85.92    
  2       EATA     85.23     84.67     86.55    
  2       RoTTA    86.09     86.46     84.48    
  2       CoTTA    84.03     84.84     84.90    
--- domain 3 ---
  3       ERM      89.77     85.43     90.30    
  3       T3A      87.05     69.63     85.65    
  3       OFTTA    85.85     61.82     86.07    
  3       PL       90.13     65.14     89.61    
  3       TENT     92.54     65.36     90.87    
  3       LAME     93.51     92.49     90.09    
  3       SHOT     90.53     64.46     89.61    
  3       TSD      91.98     65.58     88.58    
  3       TAST     89.16     70.46     86.60    
  3       TEA      91.35     65.88     90.95    
  3       NOTE     90.70     64.80     89.06    
  3       SOTTA    91.02     65.85     89.94    
  3       DSOM     91.36     80.06     91.42    
  3       SAR      91.38     66.22     90.38    
  3       EATA     90.32     63.54     90.78    
  3       RoTTA    91.18     65.33     88.71    
  3       CoTTA    89.86     71.13     89.88    
--- domain 4 ---
  4       ERM      87.38     83.20     87.93    
  4       T3A      89.54     81.44     88.53    
  4       OFTTA    87.00     79.15     87.97    
  4       PL       84.14     77.26     84.96    
  4       TENT     87.12     77.72     86.41    
  4       LAME     88.72     88.60     86.32    
  4       SHOT     84.07     76.55     84.93    
  4       TSD      85.94     77.66     83.88    
  4       TAST     89.82     81.13     88.29    
  4       TEA      85.60     78.23     86.49    
  4       NOTE     84.45     76.72     83.51    
  4       SOTTA    85.00     77.95     85.26    
  4       DSOM     89.62     89.64     90.60    
  4       SAR      85.33     78.26     85.59    
  4       EATA     84.42     75.77     86.22    
  4       RoTTA    85.28     77.56     84.15    
  4       CoTTA    83.78     69.50     84.76    
--- domain 5 ---
  5       ERM      80.91     77.17     81.50    
  5       T3A      82.70     83.78     82.42    
  5       OFTTA    80.18     81.74     82.29    
  5       PL       80.55     80.77     80.63    
  5       TENT     83.06     81.12     81.96    
  5       LAME     82.03     85.57     82.72    
  5       SHOT     80.37     80.05     80.59    
  5       TSD      82.39     81.04     79.55    
  5       TAST     75.29     78.17     77.23    
  5       TEA      81.74     81.63     82.04    
  5       NOTE     84.61     79.83     79.28    
  5       SOTTA    81.10     81.28     80.87    
  5       DSOM     86.65     86.18     86.63    
  5       SAR      81.40     81.57     81.16    
  5       EATA     80.49     79.08     81.79    
  5       RoTTA    81.35     80.87     79.72    
  5       CoTTA    80.08     79.89     80.64    
--- domain AVG ---
  AVG     ERM      83.07     79.18     83.65    
  AVG     T3A      85.23     80.69     84.55    
  AVG     OFTTA    83.30     78.03     84.96    
  AVG     PL       84.09     78.35     84.58    
  AVG     TENT     86.73     78.71     85.92    
  AVG     LAME     86.20     86.52     84.15    
  AVG     SHOT     84.20     77.62     84.54    
  AVG     TSD      85.94     78.75     83.53    
  AVG     TAST     83.37     78.88     82.88    
  AVG     TEA      85.42     79.22     86.01    
  AVG     NOTE     84.91     77.13     82.84    
  AVG     SOTTA    84.92     79.01     84.88    
  AVG     DSOM     87.47     85.02     88.08    
  AVG     SAR      85.32     79.41     85.28    
  AVG     EATA     84.29     76.79     85.78    
  AVG     RoTTA    85.15     78.58     83.71    
  AVG     CoTTA    83.57     77.26     84.45    

============================================================
seed=10  Average-All across UCI-HAR / OPPORTUNITY / PAMAP2
============================================================
Method         Acc     MacroF1   BalAcc
------------------------------------------------------------
ERM           80.48     77.21    78.92
T3A           83.20     79.41    80.46
OFTTA         82.02     79.32    81.13
PL            81.53     76.68    79.61
TENT          81.97     77.14    80.08
LAME          82.58     80.96    80.22
SHOT          80.88     76.80    79.83
TSD           81.92     77.30    79.28
TAST          81.89     78.59    80.10
TEA           82.06     77.57    79.54
NOTE          81.39     76.28    78.30
SOTTA         81.21     77.83    79.78
DSOM          84.68     80.95    82.56
SAR           81.51     77.24    79.92
EATA          81.76     76.32    79.94
RoTTA         81.67     77.77    79.13
CoTTA         80.93     76.82    79.32
============================================================
